ind_variables,p,SSE,R2,adj_R2,Cp,AIC,BIC,PRESS
LSTAT + CRIM + TAX + RAD + ZN,5,71.36930729297316,0.7133853119242535,0.7075833951615865,28.88829774382947,-41.47492499775092,-20.2745880653858,13.378846883839213
LSTAT + CRIM + TAX + DIS + B,5,71.58695427957022,0.7061948198836705,0.7002473466019634,29.714395459284788,-35.648842770817396,-14.448505838452277,13.933439450831903
LSTAT + CRIM + TAX + DIS + ZN,5,69.37695088862509,0.7247488396339452,0.7191769537965756,21.32613894834958,-50.972485848524684,-29.772148916159566,13.107553335941727
LSTAT + CRIM + TAX + B + ZN,5,72.90700982813138,0.7004408423137141,0.6943768917532629,34.7247789706326,-29.392033836385735,-8.191696904020617,14.094129542107877
LSTAT + CRIM + NOX + AGE + PTRATIO,5,69.08590543801267,0.7378035605238562,0.7324959402915456,20.22145109760669,-62.11882121779604,-40.91848428543092,12.451598376857802
LSTAT + CRIM + NOX + AGE + RAD,5,71.45528968121683,0.7037352437309567,0.697737981458304,29.214651237659325,-35.137526178880194,-13.937189246515075,14.0043881924922
LSTAT + CRIM + NOX + AGE + DIS,5,70.82437358136124,0.708067085092553,0.7021575119162888,26.819955327168373,-37.57827894584915,-16.37794201348403,13.738730311576447
LSTAT + CRIM + NOX + AGE + B,5,71.54588785123158,0.70404240661247,0.6980513622119127,29.55852432519339,-34.51404865962172,-13.313711727256603,13.992620548854005
LSTAT + CRIM + NOX + AGE + ZN,5,70.74234996791792,0.7086556531522874,0.7027579943092163,26.508627701004798,-37.38930037040757,-16.18896343804245,13.738356315448625
LSTAT + CRIM + NOX + PTRATIO + RAD,5,68.48880660569596,0.740031185575424,0.734768658967639,17.95511151262059,-63.70373627827087,-42.50339934590575,12.288960317703886
LSTAT + CRIM + NOX + PTRATIO + DIS,5,68.75228398582765,0.7428712606536048,0.7376662254441635,18.95516239870932,-65.66676116367972,-44.466424231314605,12.162975567556654
LSTAT + CRIM + NOX + PTRATIO + B,5,70.6230274966014,0.7280181156923546,0.7225124095322808,26.055729076042212,-52.29747836023989,-31.097141427874774,12.999126064187568
LSTAT + CRIM + NOX + PTRATIO + ZN,5,70.79765771554185,0.7265280855708043,0.7209922168576626,26.71855297804842,-50.65554129068033,-29.455204358315214,12.924380166205601
